INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_205403.wav,3242,2023-05-15,20:54:03,20,2023-05-15,08:54:03,8,40.8956863,-73.8918267,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,a7SqebCFY/p7+I/nbg6g7w==
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_204904.wav,4276,2023-05-15,20:49:04,20,2023-05-15,08:49:04,8,40.896025,-73.8922267,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,PvBlbHpMfN9acIQxJf3XgA==
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_204348.wav,4374,2023-05-15,20:43:48,20,2023-05-15,08:43:48,8,40.896025,-73.8922267,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,zrYZgXr0yYFrjN1qGEJb4Q==
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_205438.wav,7349,2023-05-15,20:54:38,20,2023-05-15,08:54:38,8,40.8956683,-73.891755,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,sO6u2siRSz9S/OvH2euvrQ==
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_211444.wav,3369,2023-05-15,21:14:44,21,2023-05-15,09:14:44,9,40.895054,-73.8916002,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,O+UcKJbMuafHcUbevlPErQ==
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_204617.wav,7111,2023-05-15,20:46:17,20,2023-05-15,08:46:17,8,40.896025,-73.8922267,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,gPkyDlBLgUbCNSJnWjpq4Q==
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_205533.wav,3974,2023-05-15,20:55:33,20,2023-05-15,08:55:33,8,40.8954835,-73.8918685,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,Un64UQLw6hNRMxDPDVkJpQ==
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_212037.wav,2158,2023-05-15,21:20:37,21,2023-05-15,09:20:37,9,40.8953184,-73.8917562,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,58Xyga0pIL1i9upZAdIVZw==
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_203810.wav,8976,2023-05-15,20:38:10,20,2023-05-15,08:38:10,8,40.8959817,-73.8921383,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,uYi4wkS+bus/A1Kyp3qPJQ==
/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023,,EPTFUS_20230515_205407.wav,10660,2023-05-15,20:54:07,20,2023-05-15,08:54:07,8,40.8956783,-73.8917979,Echo Meter Touch 2 Standard Android,,App 2.8.21,SM-T220,,,,,,,1,EPTFUS,,,,,vPnC9mW45/DBLU6g7yCLPw==
